tau = 4min

Point Number 	 Temperature 
 849 	 43.726084 
 850 	 44.067255 
 851 	 44.118431 
 852 	 44.084313 
 853 	 44.135489 
 854 	 43.811377 
 855 	 44.135489 
 856 	 43.811377 
 857 	 43.760201 
 858 	 43.862552 
 859 	 43.896670 
 860 	 43.879611 
 861 	 43.896670 
 862 	 44.169606 
 863 	 44.254899 
 864 	 43.947845 
 865 	 43.964904 
 866 	 43.964904 
 867 	 44.016079 
 868 	 44.374309 
 869 	 44.033138 
 870 	 44.033138 
 871 	 44.476660 
 872 	 44.459601 
 873 	 44.084313 
 874 	 44.101372 
 875 	 44.118431 
 876 	 44.169606 
 877 	 44.135489 
 878 	 44.101372 
 879 	 44.510777 
 880 	 44.203723 
 881 	 44.186665 
 882 	 44.783714 
 883 	 44.579011 
 884 	 44.698421 
 885 	 44.289016 
 886 	 44.289016 
 887 	 44.306074 
 888 	 44.357250 
 889 	 44.681362 
 890 	 44.357250 
 891 	 44.391367 
 892 	 44.715479 
 893 	 44.817831 
 894 	 44.425484 
 895 	 44.459601 
 896 	 44.766655 
 897 	 44.493718 
 898 	 44.493718 
 899 	 44.527835 
 900 	 44.527835 
 901 	 44.527835 
 902 	 44.971357 
 903 	 44.561953 
 904 	 44.988416 
 905 	 44.954299 
 906 	 44.647245 
 907 	 44.647245 
 908 	 44.664304 
 909 	 44.681362 
 910 	 44.698421 
 911 	 45.141943 
 912 	 45.039592 
 913 	 45.141943 
 914 	 45.107826 
 915 	 45.124884 
 916 	 44.817831 
 917 	 44.817831 
 918 	 44.869006 
 919 	 45.193118 
 920 	 44.869006 
 921 	 44.869006 
 922 	 45.295470 
 923 	 44.903123 
 924 	 45.329587 
 925 	 44.937240 
 926 	 44.988416 
 927 	 45.039592 
 928 	 45.329587 
 929 	 45.039592 
 930 	 45.414880 
 931 	 45.397821 
 932 	 45.090767 
 933 	 45.090767 
 934 	 45.141943 
 935 	 45.176060 
 936 	 45.176060 
 937 	 45.466055 
 938 	 45.193118 
 939 	 45.568406 
 940 	 45.210177 
 941 	 45.244294 
 942 	 45.244294 
 943 	 45.295470 
 944 	 45.687816 
 945 	 45.653699 
 946 	 45.346645 
 947 	 45.346645 
 948 	 45.756050 
 949 	 45.363704 
 950 	 45.380762 
 951 	 45.738992 
 952 	 45.448997 
 953 	 45.875460 
 954 	 45.483114 
 955 	 45.517231 
 956 	 45.909577 
 957 	 45.534289 
 958 	 45.892519 
 959 	 45.568406 
 960 	 45.977811 
 961 	 46.028987 
 962 	 45.994870 
 963 	 45.636641 
 964 	 45.977811 
 965 	 45.687816 
 966 	 45.704875 
 967 	 45.738992 
 968 	 46.199572 
 969 	 45.773109 
 970 	 46.131338 
 971 	 46.063104 
 972 	 45.824285 
 973 	 45.858402 
 974 	 45.875460 
 975 	 46.216631 
 976 	 45.909577 
 977 	 45.909577 
 978 	 45.926636 
 979 	 45.960753 
 980 	 45.977811 
 981 	 46.011928 
 982 	 46.011928 
 983 	 45.994870 
 984 	 46.506626 
 985 	 46.063104 
 986 	 46.421333 
 987 	 46.131338 
 988 	 46.148397 
 989 	 46.165455 
 990 	 46.199572 
 991 	 46.199572 
 992 	 46.608977 
 993 	 46.216631 
 994 	 46.626036 
 995 	 46.694270 
 996 	 46.643095 
 997 	 46.694270 
 998 	 46.336041 
 999 	 46.745446 
 1000 	 46.711329 
 1001 	 46.387216 
 1002 	 46.745446 
 1003 	 46.421333 
 1004 	 46.813680 
 1005 	 46.779563 
 1006 	 46.506626 
 1007 	 46.523685 
 1008 	 46.557802 
 1009 	 46.557802 
 1010 	 46.557802 
 1011 	 46.984265 
 1012 	 46.626036 
 1013 	 46.660153 
 1014 	 47.069558 
 1015 	 46.694270 
 1016 	 47.137792 
 1017 	 46.694270 
 1018 	 46.728387 
 1019 	 47.154851 
 1020 	 47.103675 
 1021 	 46.830739 
 1022 	 47.154851 
 1023 	 47.206026 
 1024 	 46.881914 
 1025 	 47.257202 
 1026 	 46.881914 
 1027 	 46.933090 
 1028 	 47.342495 
 1029 	 46.950148 
 1030 	 47.376612 
 1031 	 47.376612 
 1032 	 47.018383 
 1033 	 47.052500 
 1034 	 47.461905 
 1035 	 47.444846 
 1036 	 47.120734 
 1037 	 47.154851 
 1038 	 47.120734 
 1039 	 47.188968 
 1040 	 47.188968 
 1041 	 47.240144 
 1042 	 47.223085 
 1043 	 47.291319 
 1044 	 47.291319 
 1045 	 47.325436 
 1046 	 47.666607 
 1047 	 47.871310 
 1048 	 47.393670 
 1049 	 47.461905 
 1050 	 47.393670 
 1051 	 47.444846 
 1052 	 47.461905 
 1053 	 47.496022 
 1054 	 47.496022 
 1055 	 47.496022 
 1056 	 47.888368 
 1057 	 48.076012 
 1058 	 47.598373 
 1059 	 47.990720 
 1060 	 47.649549 
 1061 	 47.666607 
 1062 	 48.076012 
 1063 	 47.700724 
 1064 	 48.007778 
 1065 	 47.734841 
 1066 	 47.768958 
 1067 	 48.144246 
 1068 	 48.127188 
 1069 	 47.820134 
 1070 	 48.212481 
 1071 	 47.871310 
 1072 	 48.229539 
 1073 	 48.195422 
 1074 	 47.939544 
 1075 	 47.956602 
 1076 	 48.331890 
 1077 	 48.331890 
 1078 	 48.331890 
 1079 	 48.417183 
 1080 	 47.990720 
 1081 	 48.076012 
 1082 	 48.076012 
 1083 	 48.093071 
 1084 	 48.570710 
 1085 	 48.553652 
 1086 	 48.502476 
 1087 	 48.587769 
 1088 	 48.246598 
 1089 	 48.246598 
 1090 	 48.263656 
 1091 	 48.297773 
 1092 	 48.707179 
 1093 	 48.348949 
 1094 	 48.656003 
 1095 	 48.400125 
 1096 	 48.741296 
 1097 	 48.434242 
 1098 	 48.417183 
 1099 	 48.758354 
 1100 	 48.485417 
 1101 	 48.485417 
 1102 	 48.536593 
 1103 	 48.570710 
 1104 	 48.911881 
 1105 	 48.604827 
 1106 	 48.604827 
 1107 	 48.638944 
 1108 	 49.065408 
 1109 	 48.997174 
 1110 	 48.724237 
 1111 	 48.707179 
 1112 	 49.082467 
 1113 	 49.099525 
 1114 	 48.792471 
 1115 	 48.826588 
 1116 	 49.235993 
 1117 	 49.201876 
 1118 	 49.270111 
 1119 	 48.911881 
 1120 	 48.911881 
 1121 	 49.423638 
 1122 	 49.304228 
 1123 	 49.372462 
 1124 	 49.031291 
 1125 	 49.014232 
 1126 	 49.423638 
 1127 	 49.423638 
 1128 	 49.082467 
 1129 	 49.474813 
 1130 	 49.133642 
 1131 	 49.133642 
 1132 	 49.611282 
 1133 	 49.201876 
 1134 	 49.560106 
 1135 	 49.253052 
 1136 	 49.253052 
 1137 	 49.798926 
 1138 	 49.679516 
 1139 	 49.713633 
 1140 	 49.355403 
 1141 	 49.389520 
 1142 	 49.901277 
 1143 	 49.423638 
 1144 	 49.781867 
 1145 	 49.474813 
 1146 	 49.884218 
 1147 	 49.850101 
 1148 	 49.508930 
 1149 	 49.577164 
 1150 	 49.969511 
 1151 	 49.969511 
 1152 	 49.935394 
 1153 	 49.662457 
 1154 	 50.088921 
 1155 	 50.123038 
 1156 	 49.730691 
 1157 	 49.764809 
 1158 	 49.764809 
 1159 	 49.781867 
 1160 	 49.833043 
 1161 	 50.191272 
 1162 	 50.191272 
 1163 	 50.225389 
 1164 	 49.901277 
 1165 	 49.884218 
 1166 	 49.969511 
 1167 	 50.361858 
 1168 	 50.020687 
 1169 	 50.310682 
 1170 	 50.037745 
 1171 	 50.447151 
 1172 	 50.105980 
 1173 	 50.123038 
 1174 	 50.123038 
 1175 	 50.174214 
 1176 	 50.191272 
 1177 	 50.191272 
 1178 	 50.225389 
 1179 	 50.225389 
 1180 	 50.259506 
 1181 	 50.310682 
 1182 	 50.327741 
 1183 	 50.685970 
 1184 	 50.378916 
 1185 	 50.754204 
 1186 	 50.413033 
 1187 	 50.430092 
 1188 	 50.873614 
 1189 	 50.873614 
 1190 	 50.805380 
 1191 	 50.532443 
 1192 	 50.600677 
 1193 	 50.549502 
 1194 	 51.010083 
 1195 	 50.634795 
 1196 	 50.651853 
 1197 	 50.668912 
 1198 	 50.703029 
 1199 	 50.685970 
 1200 	 50.737146 
 1201 	 50.788322 
 1202 	 51.180668 
 1203 	 51.146551 
 1204 	 51.231844 
 1205 	 50.873614 
 1206 	 51.197727 
 1207 	 51.283020 
 1208 	 50.924790 
 1209 	 50.941849 
 1210 	 50.958907 
 1211 	 50.993024 
 1212 	 51.027141 
 1213 	 51.027141 
 1214 	 51.095375 
 1215 	 51.095375 
 1216 	 51.521839 
 1217 	 51.470664 
 1218 	 51.607132 
 1219 	 51.573015 
 1220 	 51.197727 
 1221 	 51.214785 
 1222 	 51.248902 
 1223 	 51.283020 
 1224 	 51.248902 
 1225 	 51.641249 
 1226 	 51.334195 
 1227 	 51.709483 
 1228 	 51.726542 
 1229 	 51.385371 
 1230 	 51.743600 
 1231 	 51.487722 
 1232 	 51.487722 
 1233 	 51.811835 
 1234 	 51.897127 
 1235 	 51.880069 
 1236 	 51.590073 
 1237 	 51.897127 
 1238 	 51.641249 
